kode;namaunit;instansi
300301060259;SD Negeri Balongsari 4;Dinas Pendidikan dan Kebudayaan
300409;Badan Penanggulangan Bencana Daerah;Badan Penanggulangan Bencana Daerah
30040901;Pelaksana Badan Penanggulangan Bencana Daerah;Badan Penanggulangan Bencana Daerah
3004050701;Sub Bidang Pelayanan Perbendaharaan;Badan Pengelolaan Keuangan dan Pendapatan Daerah
3004050702;Sub Bidang Pengelolaan Kas dan Akuntansi;Badan Pengelolaan Keuangan dan Pendapatan Daerah
3004050801;Sub Bidang Pelayanan dan Data Informasi Pajak Daerah;Badan Pengelolaan Keuangan dan Pendapatan Daerah
3004050802;Sub Bidang Penetapan dan Pemeriksaan Pajak Daerah;Badan Pengelolaan Keuangan dan Pendapatan Daerah
3004050901;Sub Bidang Penagihan dan Peningkatan Kepatuhan;Badan Pengelolaan Keuangan dan Pendapatan Daerah
3004050902;Sub Bidang Evaluasi dan Pengembangan Pendapatan Daerah;Badan Pengelolaan Keuangan dan Pendapatan Daerah
3004090101;Sekretariat;Badan Penanggulangan Bencana Daerah
3004090102;Seksi Pencegahan dan Kesiapsiagaan;Badan Penanggulangan Bencana Daerah
3004090103;Seksi Kedaruratan dan Logistik;Badan Penanggulangan Bencana Daerah
3004090104;Seksi Rehabilitasi dan Rekonstruksi;Badan Penanggulangan Bencana Daerah
